prompt,answer
What are genome-wide association studies in the context of IBD?,"Genome-wide association studies have identified risk loci linked to inflammatory bowel disease (IBD), a complex chronic inflammatory disorder of the gastrointestinal tract."
How does the prevalence of IBD in industrialized countries relate to environmental factors?,The increasing prevalence of IBD in industrialized countries and the augmented disease risk observed in migrants moving to areas of higher disease prevalence suggest that environmental factors are significant determinants of IBD susceptibility and severity.
What is the significance of the herbicide propyzamide in the context of intestinal inflammation?,"The approach combining databases, zebrafish chemical screens, machine learning, and mouse preclinical models identified that the herbicide propyzamide increases inflammation in the small and large intestine."
What signalling axis is targeted by propyzamide to promote intestinal inflammation?,"An AHR–NF-κB–C/EBPβ signalling axis operates in T cells and dendritic cells to promote intestinal inflammation, and is targeted by propyzamide."
How does propyzamide affect C/EBPβ signalling in dendritic cells?,Propyzamide upregulates Cebpb expression in dendritic cells in an NF-κB-dependent manner.
What impact does propyzamide have on the expression of pro-inflammatory molecules in TNBS mice?,"Propyzamide increases the expression of pro-inflammatory molecules like IL-17, IFNγ, and Cebpb in TNBS mice."
How does AHR signalling affect intestinal homeostasis and inflammation?,"AHR modulates intestinal homeostasis and inflammation, and its suppression by propyzamide leads to increased NF-κB activation."
What role does propyzamide play in the context of AHR signalling in vivo?,"Propyzamide interferes with AHR signalling, reducing its interactions with physiological ligands."
How does C/EBPβ affect pro-inflammatory DC function?,"C/EBPβ signalling boosts pro-inflammatory DC function, influencing the expression of genes like Il1b, Tnf, and Il23."
What was the result of the investigation on the role of C/EBPβ in DCs during intestinal inflammation?,C/EBPβ deficiency in classical DCs resulted in the amelioration of TNBS-induced colitis.
How does propyzamide impact colitogenic T cells and their associated signalling?,Propyzamide promotes the differentiation of TH1 and TH17 cells and boosts NF-κB activation.
What is the effect of VCAM-1 blockade on propyzamide-induced intestinal inflammation?,VCAM-1 blockade mitigates the worsening of intestinal inflammation by propyzamide in TNBS-induced colitis.
